num_borrowers,agenew,devontown
46,24,Axminster
36,25,Axminster
37,26,Axminster
34,27,Axminster
97,28,Axminster
41,29,Axminster
51,3,Axminster
31,30,Axminster
36,31,Axminster
39,32,Axminster
37,33,Axminster
31,34,Axminster
54,35,Axminster
37,36,Axminster
42,37,Axminster
36,38,Axminster
33,39,Axminster
64,4,Axminster
47,40,Axminster
36,41,Axminster
61,42,Axminster
36,43,Axminster
46,44,Axminster
61,45,Axminster
54,46,Axminster
53,47,Axminster
42,48,Axminster
36,49,Axminster
70,5,Axminster
40,50,Axminster
50,51,Axminster
51,52,Axminster
37,53,Axminster
45,54,Axminster
29,55,Axminster
35,56,Axminster
37,57,Axminster
15,58,Axminster
36,59,Axminster
80,6,Axminster
42,60,Axminster
44,61,Axminster
45,62,Axminster
49,63,Axminster
37,64,Axminster
48,65,Axminster
58,66,Axminster
56,67,Axminster
45,68,Axminster
83,69,Axminster
81,7,Axminster
59,70,Axminster
50,71,Axminster
46,72,Axminster
39,73,Axminster
49,74,Axminster
36,75,Axminster
33,76,Axminster
31,77,Axminster
28,78,Axminster
29,79,Axminster
98,8,Axminster
26,80,Axminster
18,81,Axminster
11,82,Axminster
12,83,Axminster
13,84,Axminster
15,85,Axminster
14,86,Axminster
10,87,Axminster
6,88,Axminster
8,89,Axminster
96,9,Axminster
8,90,Axminster
4,91,Axminster
4,92,Axminster
6,93,Axminster
1,94,Axminster
1,95,Axminster
3,96,Axminster
1,97,Axminster
1,99,Axminster
1261,,Barnstaple
27,0,Barnstaple
66,1,Barnstaple
370,10,Barnstaple
2,102,Barnstaple
1,106,Barnstaple
333,11,Barnstaple
2,113,Barnstaple
3,114,Barnstaple
2,115,Barnstaple
3,116,Barnstaple
367,12,Barnstaple
293,13,Barnstaple
271,14,Barnstaple
234,15,Barnstaple
213,16,Barnstaple
207,17,Barnstaple
250,18,Barnstaple
230,19,Barnstaple
126,2,Barnstaple
242,20,Barnstaple
194,21,Barnstaple
258,22,Barnstaple
220,23,Barnstaple
214,24,Barnstaple
262,25,Barnstaple
278,26,Barnstaple
264,27,Barnstaple
280,28,Barnstaple
278,29,Barnstaple
190,3,Barnstaple
279,30,Barnstaple
252,31,Barnstaple
256,32,Barnstaple
260,33,Barnstaple
240,34,Barnstaple
237,35,Barnstaple
228,36,Barnstaple
226,37,Barnstaple
233,38,Barnstaple
230,39,Barnstaple
264,4,Barnstaple
226,40,Barnstaple
201,41,Barnstaple
192,42,Barnstaple
198,43,Barnstaple
225,44,Barnstaple
230,45,Barnstaple
219,46,Barnstaple
225,47,Barnstaple
199,48,Barnstaple
207,49,Barnstaple
277,5,Barnstaple
166,50,Barnstaple
180,51,Barnstaple
182,52,Barnstaple
179,53,Barnstaple
147,54,Barnstaple
